ID;Datum;Name;Beschreibung;Typ;IMP;PRB;MAG;Owner;Gegenmaßnahme
1;10.11.23;Teammitglied fällt aus;Ein Mitglied des Teams kann dauerhaft oder zeitweise nicht mehr am Projekt teilnehmen, z.B. wegen einer Krankheit oder einem Studiengangwechsel;Ressource;3;60%;1,8;Projektmanagment;"Backup-Rollen nutzen und das ""Know-How"" zwischen einzelnen Personen kontinuerlich transferieren. Unterstützung anfordern bis zum 27.03."
2;10.11.23;Kommunikation;Missverständliche Kommunikation intern;geschäftlich;3;50%;1,5;Alle Teammitglieder, insbesondere das Projektmanagment und Requirements/Analyse;Schriftliches festhalten von Vereinbarungen und Zielen, sowie nutzen zentraler Kommunikationswege (Discord), die für alle Teammitglieder zugänglich sind. Vermeiden von dezentraler Kommunikation!
3;10.11.23;Fehlende Managmenttechniken;Keine klare und stukturierte Vorgehensweise in der Projektplanung und Projektdurchführung;geschäftlich;4;40%;1,6;Projektmanagment;Testen einer agil geprägten Arbeitsweise. Regelmäßig stattfindene Teammeetings mit Auswertung der letzten Iteration und einer offenen Feedbackkultur
4;10.11.23;Änderung des Anforderungsprofiles;Anforderungen ändern sich ständig und verwerfen dabei bereits erreichte Ziele;geschäftlich;2;50%;1;Auftraggeber, Projektmanagment, Analysten;Dieses Risiko wird primär vom Auftraggeber getragen, dabei ist eine klare und regelmäßige Kommunikation zwischen dem Team und dem Auftraggeber unerlässlich
5;10.11.23;Fehlende zeitliche Ressourcen;Die zeitliche Kapazität der Teammitglieder wird durch das Studium und anderweitige Verpflichtungen unvorhersehbar beschränkt;geschäftlich und zeitlich;3;20%;0,6;Projektmanagment;Kurze Iterationsplanung von maximal 2 Wochen
6;19.12.23;Einsatz unbekannter Tools;Es werden neue Tools für die Projektarbeit eingesetz (zb. GitHub, Visual Paradigm), mit welchen die Teammitglieder noch keine bis wenige Erfahrungen gesammelt haben;technisch;2;30%;0,6;Projektmanagment;Testen des Dokumentationstools für Angular
7;10.11.23;Zu optimistische Projektplanung;Der Arbeitsaufwand, bzw. die Komplexität für ein WorkItem wurde unterschätzt;zeitlich;2;20%;0,4;Projektmanagment;"Strategie ""divide and conquer"", klare Zielfokussierung und eindeutiges formulieren von WorkItems"
8;05.12.23;Fehlendes Fachwissen (Know-How);Es fehlt die nötige Erfahrung und das dazugehörige Wissen um eine Aufgabe effizient lösen zu können;Ressource;3;40%;1,2;Alle Teammitglieder, insbesondere das Projektmanagment;Erstellung von Fähigkeitsprofilen, snnvolle Aufteilung von Kompetenzen, ggf. Umstrukturierung der Projektrollen
9;09.01.24;Inkompatible und undefinierte Schnittstellen;Es exitieren Systemkomponenten, die zum Zeitpunkt des Architekturentwurfes noch unbekannt sind (z. B. das Ausleihsystem);technisch;4;20%;0,8;Architekt;Berücksichtigung im Architekturentwurf, Auswahl einer geeigneten Systemarchitektur/ Frame die/ der Spielräume für Erweiterungen offen lässt, nutzen von API Dummies (Interfaces) die eine Schnittstelle simulieren
10;09.01.24;Keine Unterstützung der Architektur;Die geplante Architektur lässt sich im reellen Gebrauch nicht realisieren;technisch;5;5%;0,25;Architekt;Einsatz bewährt und moderner Tools sowie Systemkpomponenten unter Einhaltung offizieller Standards
11;19.12.23;Unklare NFA;Schwammige Formulierung der NFA, daher kein sinnvolles Testen möglich;geschäftlich;4;30%;1,2;Analyst;Überarbeitung und Konkretisierung der NFA
12;09.01.24;Fehlendes fachliches Verständnis für die Architektur;Es fehlt ein gemeinsames fachliches Verständnis für die Umsetzung der geplanten Architektur mit den dafür erforderlichen Frameworks;geschäftlich;3;30%;0,9;Architekt;Erstellung eines Diagrammes zur Verdeutlichung der geplanten Umsetzung und dem Zusammenspiel der einzelnen technischen Komponenten (Server, Docker, Schnittstellen, etc.)
13;10.11.23;Missverständliche Kommunikation mit dem Auftraggeber;Das Verständnis zwischen Auftraggeber und Projektteam zeigt Differenzen auf;geschäftlich;3;20%;0,6;Projektmanagment;Klärendes Gespräch zwischen Auftraggeber und dem Projektmanagment
14;20.01.24;Meetings mit Auftraggeber; Vereinbarte Meetings mit Auftraggeber können aufgrund von Krankheit oder Planumstellungen nicht stattfinden;geschäftlich;4;40%;1,6;Alle Teammitglieder;Wenn möglich schnelle Vereinbarungen eines neuen Termins
15;23.01.24;Bereitstellung der Webanwendung;Die Bereitsstellung der Webanwendung auf dem Server bereitet Probleme;technisch;4;40%;1,6;Deployment Engineer;Deployment Konzept, Klärung der Domän Adresse